a	A
hemlocks	pohon cemara
hemmed	dijahit
hemmer	hemmer
hemming	menjahit tepi
hemocyte	hemosit
hemodialysis	hemodialisis
hemoglobin	hemoglobin
hemolysin	hemolisin
hemolysis	hemolisis
hemophilia	hemofilia
hemophiliac	hemofilia
hemophiliacs	penderita hemofilia
hemorrhage	pendarahan
hemorrhages	pendarahan
hemorrhagic	pendarahan
hemorrhaging	pendarahan
hemorrhoid	ambeien
hemorrhoidal	wasir
hemorrhoids	wasir
hemostasis	hemostasis
hemostatic	hemostatik
hemp	rami
hempen	serat rami
hems	tepi
hemstitch	hiasan sulam
hen	induk ayam
henbane	semacam tumbuhan
hence	karena itu
henceforth	untuk selanjutnya
henceforward	untuk selanjutnya
henchman	antek
henchmen	antek-antek
henequen	henequen
henge	Henge
henhouse	kandang ayam
henna	inai
henry	Henry
hens	ayam betina
hent	ayam betina
hep	bantuan
heparin	heparin
hepatic	hati
hepatica	hati
hepatitis	hepatitis
hepatocyte	hepatosit
hepatocytes	hepatosit
hepcat	hepcat
hepper	lebih banyak
heptad	heptad
heptane	heptan
heptathlon	heptathlon
her	dia
herald	bentara
heralded	dipuji
heraldic	lambang heraldik
heralding	mengumumkan
heraldry	heraldik
heralds	pembawa pesan
herb	herba
herbaceous	rumputan
herbage	rumputan
herbal	herbal
herbalism	pengobatan herbal
herbalist	penjual jamu
herbalists	ahli herbal
herbals	herbal
herbaria	herbarium
herbarium	herbarium
herbicidal	herbisida
herbicide	herbisida
herbicides	herbisida
herbivore	herbivora
herbivores	hewan herbivora
herbivorous	herbivora
herbs	rempah-rempah
herby	oleh
herculean	sangat kuat
herd	kawanan
herded	digembalakan
herder	penggembala
herders	penggembala
herding	penggembalaan
herds	kawanan
herdsman	gembala
herdsmen	penggembala
here	Di Sini
hereabouts	di sekitar sini
hereafter	selanjutnya
hereby	dengan ini
hereditament	warisan
hereditaments	warisan
hereditarily	secara turun-temurun
hereditary	turun temurun
heredity	keturunan
herein	di sini
hereinafter	selanjutnya
hereinbefore	sebelumnya
hereof	dari hal ini
hereon	selanjutnya
heres	ini
heresies	bidah
heresy	bidaah
heretic	bidat
heretical	sesat
heretics	kaum bidat
hereto	ke sini
heretofore	sampai sekarang
hereunder	di bawah ini
hereunto	dengan ini
hereupon	kemudian
herewith	bersama ini
heriot	heriot
heritability	heritabilitas
heritable	dapat diwariskan
heritage	warisan
heritages	warisan
heritors	pewaris
herl	herl
herm	pertapa
hermaphrodite	banci
hermaphrodites	hermafrodit
hermaphroditic	hermafrodit
hermaphroditism	hermafroditisme
hermeneutic	hermeneutika
hermeneutical	hermeneutika
hermeneutics	hermeneutika
hermetic	kedap udara
hermetically	kedap udara
hermeticism	hermetisme
hermit	pertapa
hermitage	pertapaan
hermitian	pertapa
hermits	pertapa
hern	bangau
hernia	burut
hernial	hernia
hernias	hernia
herniated	hernia
herniation	herniasi
hero	pahlawan
heroes	pahlawan
heroic	heroik
heroically	secara heroik
heroics	kepahlawanan
heroin	heroin
heroine	pahlawan wanita
heroines	pahlawan wanita
heroism	kepahlawanan
heron	bangau
herons	bangau
herp	herpetofauna
herpes	herpes
herpetic	herpes
herpetological	herpetologi
herpetologists	herpetolog
herpetology	herpetologi
herring	ikan haring
herringbone	tulang ikan
herrings	ikan herring
hers	dia
herself	diri
hertz	hertz
hes	dia
hesitance	keraguan
hesitancy	keraguan
hesitant	ragu-ragu
hesitantly	dengan ragu-ragu
hesitate	ragu-ragu
hesitated	ragu-ragu
hesitates	ragu-ragu
hesitating	ragu-ragu
hesitatingly	dengan ragu-ragu
hesitation	keraguan
hesitations	keraguan
hesperidin	hesperidin
hessian	goni
hessians	orang Hessian
hest	dada
hetero	hetero
heterochromatic	heterokromatik
heterochromatin	heterokromatin
heterocyclic	heterosiklik
heterodox	murtad
heterodoxy	bidaah
heterodyne	heterodin
heterogeneity	heterogenitas
heterogeneous	heterogen
heterogeneously	secara heterogen
heterologous	heterolog
heteronomous	heteronom
heteronomy	heteronomi
heteros	heteroseksual
heterosexual	heteroseks
heterosexuality	heteroseksualitas
heterosexually	heteroseksual
heterosexuals	heteroseksual
heterosis	heterosis
heterotrophic	heterotrof
heterozygote	heterozigot
heterozygous	heterozigot
heth	kesehatan
hetman	hetman
heuristic	heuristis
heuristically	secara heuristik
heuristics	heuristik
hew	menebang
hewed	dipahat
hewer	pemotong pohon
hewers	pemotong
hewing	memotong
hews	memotong
hex	heksadesimal
hexadecimal	heksadesimal
hexagon	segi enam
hexagonal	heksagonal
hexagons	segi enam
hexagram	heksagram
hexagrams	heksagram
hexahydrate	heksahidrat
hexameter	heksameter
hexameters	heksameter
hexane	heksana
hexanes	heksana
hexapod	heksapoda
hexavalent	heksavalensi
hexed	dikutuk
hexes	kutukan
hexose	heksosa
hexoses	heksosa
hexyl	heksil
hey	Hai
heyday	masa kejayaan
heydays	masa kejayaan
hf	hf
hg	hg
hgt	tinggi
hhd	hhd
hi	Hai
hiatal	hiatus
hiatus	hiatus
hibachi	hibachi
hibernate	hibernasi
hibernates	berhibernasi
hibernating	berhibernasi
hibernation	hibernasi
hibiscus	kembang sepatu
hic	cegukan
hiccough	cegukan
hiccup	cegukan
hiccups	cegukan
hick	orang udik
hickey	cupang
hickeys	bekas ciuman
hickory	kayu hickory
hicks	orang desa
hid	bersembunyi
hidalgo	hidalgo
hidden	tersembunyi
hiddenite	hiddenite
hide	bersembunyi
hideaway	persembunyian
hideaways	tempat persembunyian
hidebound	picik
hideous	mengerikan
hideously	mengerikan
hideousness	keburukan
hideout	persembunyian
hideouts	tempat persembunyian
hider	penyembunyi
hiders	penyembunyi
hides	menyembunyikan
hiding	persembunyian
hie	terburu
hierarch	hierarki
hierarchal	hierarkis
hierarchic	hierarkis
hierarchical	hierarkis
hierarchically	secara hierarkis
hierarchies	hierarki
hierarchs	hierarki
hierarchy	hirarki
hieratic	keramat
hieroglyph	tulisan rahasia
hieroglyphic	hieroglif
hieroglyphics	hieroglif
hieroglyphs	hieroglif
hierophant	hierofant
high	tinggi
highball	tanda keberangkatan
highboy	lemari laci tinggi
highbrow	cendekiawan
highchair	kursi tinggi
highchairs	kursi tinggi
higher	lebih tinggi
highers	lebih tinggi
highest	paling tinggi
highfalutin	muluk
highland	dataran tinggi
highlander	penduduk dataran tinggi
highlanders	penduduk dataran tinggi
highlands	pegunungan
highlight	menyorot
highlighted	disorot
highlighter	stabilo
highlighters	stabilo
highlighting	menyoroti
highlights	highlight
highline	garis tinggi
highly	sangat
highness	kebesaran
highpoint	titik tertinggi
highroad	jalan raya
highs	tinggi
hight	tinggi
hightest	tertinggi
highway	jalan raya
highwayman	penyamun
highwaymen	perampok jalanan
highways	jalan raya
hijab	hijab
hijabs	hijab
hijack	membajak
hijacked	dibajak
hijacker	pembajak
hijackers	pembajak
hijacking	pembajakan
hijackings	pembajakan
hijacks	membajak
hike	kenaikan
hiked	mendaki
hiker	pejalan kaki
hikers	pendaki
hikes	pendakian
hiking	lintas alam
hila	hila
hilarious	lucu sekali
hilariously	sangat lucu
hilarity	kegembiraan
hill	bukit
hillbillies	orang desa
hillbilly	orang udik
hillier	lebih berbukit
hillock	bukit kecil
hillocks	bukit-bukit
hills	bukit-bukit
hillside	lereng
hillsides	lereng bukit
hilltop	puncak bukit
hilltops	puncak bukit
hillwalking	mendaki bukit
hilly	berbukit
hilt	puting
hilts	gagang
hilum	hilum
him	dia
hims	dia
himself	diri
hin	hin
hind	belakang
hindbrain	otak belakang
hinder	menghalangi
hindered	terhambat
hinderer	penghalang
hindering	menghalangi
hinders	menghambat
hindgut	usus belakang
hindmost	paling belakang
hindquarters	bagian belakang
hindrance	halangan
hindrances	hambatan
hinds	rusa betina
hindsight	pandangan retrospektif
hing	hal
hinge	engsel
hinged	berengsel
hinges	engsel
hinging	berengsel
hings	hal-hal
hint	petunjuk
hinted	mengisyaratkan
hinter	pedalaman
hinterland	pedalaman
hinterlands	pedalaman
hinting	memberi isyarat
hints	petunjuk
hip	panggul
hipbone	tulang pinggul
hiphop	hip hop
hipness	kekinian
hipped	keranjingan
hipper	lebih keren
hippest	paling keren
hippie	hippie
hippies	kaum hippie
hippo	kuda nil
hippocampus	hipokampus
hippodrome	gelanggang pacuan kuda
hippogriff	hippogriff
hippopotamus	kuda nil
hippos	kuda nil
hippy	hippy
hips	panggul
hipster	hipster
hipsters	kaum hipster
hiragana	hiragana
hire	mempekerjakan
hired	dipekerjakan
hireling	orang sewaan
hirelings	pekerja upahan
hirer	penyewa
hirers	penyewa
hires	perekrutan
hiring	mempekerjakan
hirsute	berbulu
hirsutism	hirsutisme
hirudin	hirudin
his	miliknya
hiss	mendesis
hissed	mendesis
hisses	desisan
hissing	desis
hist	sejarah
histamine	histamin
histamines	histamin
histidine	histidin
histiocytes	histiosit
histochemistry	histokimia
histocompatibility	histokompatibilitas
histogenesis	histogenesis
histogram	histogram
histograms	histogram
histologic	histologis
histological	histologik
histologically	secara histologis
histology	histologi
histone	histon
histones	histon
histopathology	histopatologi
histoplasmosis	histoplasmosis
historian	sejarawan
historians	sejarawan
historic	bersejarah
historical	historis
historically	secara historis
historicism	historisisme
historicist	historis
historicity	historisitas
histories	sejarah
historiographer	penulis sejarah
historiographic	historiografi
historiographical	historiografi
historiography	penulisan sejarah
history	sejarah
histrionic	munafik
histrionics	seni drama
hit	memukul
hitch	halangan
hitched	beristri
hitcher	menumpang
hitches	halangan
hitchhike	membonceng
hitchhiked	menumpang kendaraan
hitchhiker	penumpang gelap
hitchhikers	para penumpang yang menumpang
hitchhiking	menumpang kendaraan
hitching	mengikat
hither	ke sini
hitherto	sampai sekarang
hits	pukulan
hitter	pemukul
hitters	pemukul
hitting	memukul
hive	sarang lebah
hivemind	pikiran kolektif
hives	sarang lebah
hiya	Hai
hl	hl
hm	hm
hmm	Hmm
ho	ho
hoagie	roti lapis
hoagies	roti lapis
hoar	uban
hoard	timbunan
hoarded	ditimbun
hoarder	penimbun
hoarders	penimbun
hoarding	penimbunan
hoardings	papan reklame
hoards	timbunan
hoarse	serak
hoarsely	dengan suara serak
hoarseness	suara serak
hoary	tua
hoax	lelucon
hoaxer	penipu
hoaxers	para penipu
hoaxes	tipuan
hob	kompor
hobbies	hobi
hobbit	hobbit
hobbits	hobbit
hobble	pincang
hobbled	pincang
hobbles	pincang
hobbling	pincang
hobby	hobi
hobbyist	penggemar
hobbyists	penggemar
hobgoblin	momok
hobgoblins	hobgoblin
hobnail	paku sepatu
hobnob	bersahabat
hobnobbing	bergaul
hobo	batak
hoboes	gelandangan
hobos	gelandangan
hobs	kompor
hoc	hoc
hock	gadaian
hockey	hoki
hocking	menggonggong
hocks	kaki belakang
hocus	mengelirukan
hod	hod
hodgepodge	campur aduk
hods	hods
hoe	cangkul
hoed	cangkul
hoedown	pesta dansa
hoeing	mencangkul
hoer	hoer
hoes	pelacur
hog	babi
hogan	Hogan
hogans	hogans
hogback	barisan gunung yg terjal
hogfish	ikan babi
hogged	dirampas
hogging	belit
hogs	babi
hogshead	tong besar
hogsheads	tong besar
hogtie	mengikat babi
hogtied	diikat
hogwash	omong kosong
hogweed	tanaman hogweed
hoist	kerekan
hoisted	diangkat
hoisting	mengangkat
hoists	pengangkat
hoke	hoke
hokes	hokes
hokey	norak
hokum	kebohongan
hold	memegang
holdall	koper
holdalls	tas jinjing
holdback	rintangan
holden	Holden
holder	pemegang
holders	pemegang
holdfast	pegangan erat
holding	memegang
holdings	saham
holdout	bertahan
holdouts	para penolak
holdover	peninggalan
holdovers	sisa
holds	memegang
holdup	perampokan
holdups	perampokan
hole	lubang
holed	berlubang
holes	lubang
holey	berlubang
holiday	hari libur
holidaying	berlibur
holidaymaker	wisatawan
holidaymakers	wisatawan
holidays	liburan
holier	lebih suci
holiest	paling suci
holiness	kekudusan
holing	melubangi
holism	holisme
holistic	holistik
holistically	secara holistik
holler	berteriak
hollered	berteriak
hollering	berteriak
hollers	teriakan
hollies	pohon holly
hollow	kosong
hollowed	berongga
hollowing	pengosongan
hollowness	kekosongan
hollows	cekungan
hollowware	peralatan berongga
holly	holly
hollyhock	semacam tumbuhan
hollyhocks	bunga hollyhock
holm	beting
holmium	holmium
holocaust	bencana
holocausts	Holocaust
holoenzyme	holoenzim
hologram	hologram
holograms	hologram
holograph	holografik
holographic	holografik
holography	holografi
holomorphic	holomorfik
holotype	holotipe
hols	liburan
holster	tempat penyimpan pistol
holstered	disarungkan
holsters	sarung pistol
holt	suaka
holy	suci
homage	penghormatan
homages	penghormatan
hombre	pria
hombres	pria
homburg	homburg
home	rumah
homebody	orang rumahan
homeboy	teman
homeboys	teman-teman
homecoming	kepulangan
homecomings	kepulangan
homed	bertempat tinggal
homegirl	gadis rumahan
homegrown	hasil bumi
homeland	tanah air
homelands	tanah air
homeless	tunawisma
homelessness	tunawisma
homelike	yg menyenangkan
homeliness	kesederhanaan
homely	bersahaja
homemade	buatan sendiri
homemaker	ibu rumah tangga
homemakers	ibu rumah tangga
homemaking	mengurus rumah tangga
homeomorphism	homeomorfisme
homeomorphisms	homeomorfisme
homeopath	homoeopat
homeopathic	homoeopati
homeopaths	ahli homeopati
homeopathy	homoeopati
homeostasis	homeostasis
homeostatic	homeostatis
homeowner	pemilik rumah
homeowners	pemilik rumah
homepage	halaman beranda
homepages	halaman beranda
homer	homer
homered	home run
homeroom	ruang kelas
homers	home run
homes	rumah
homeschool	pendidikan di rumah
homeschooler	orang tua yang belajar di rumah
homeschooling	pendidikan di rumah
homesick	rindu
homesickness	kerinduan
homespun	tenunan sendiri
homestead	lahan pertanian
homesteaded	bertani
homesteader	transmigran
homesteaders	para pemukim
homesteading	bertani mandiri
homesteads	lahan pertanian
homestretch	bagian terakhir
hometown	kampung halaman
hometowns	kota asal
homeward	pulang
homewards	pulang
homework	pekerjaan rumah
homeworker	pekerja rumahan
homeworkers	pekerja rumahan
homeworking	bekerja dari rumah
homewrecker	perusak rumah tangga
homey	nyaman
homicidal	pembunuh
homicide	pembunuhan
homicides	pembunuhan
homie	sobat
homies	teman-teman
homiletic	homiletik
homiletics	homiletika
homilies	khotbah
homily	kotbah
homing	kepulangan
hominid	hominid
hominids	hominid
hominoid	hominoid
hominy	bubur jagung
homo	homo
homoerotic	homoseksual
homoeroticism	homoseksual
homogenates	homogenat
homogeneity	kehomogenan
homogeneous	homogen
homogeneously	secara homogen
homogenization	homogenisasi
homogenize	homogenisasi
homogenized	dihomogenisasi
homogenizer	homogenizer
homogenizing	homogenisasi
homograft	homograf
homograph	homograf
homographs	homograf
homolog	homolog
homological	homologis
homologies	homologi
homologous	homolog
homologue	homolog
homology	homologi
homomorphism	homomorfisme
homomorphisms	homomorfisme
homonym	homonim
homonymous	homonim
homonyms	homonim
homophobe	homofobia
homophobes	kaum homofobia
homophobia	homofobia
homophobic	homofobia
homophone	huruf sebunyi
homophones	homofon
homophonic	homofonik
homos	homo
homosexual	homoseksual
homosexuality	homoseksualitas
homosexually	homoseksual
homosexuals	kaum homoseksual
homozygote	homozigot
homozygous	homozigot
homunculus	homunculus
hon	yang terhormat
honcho	bos
honchos	para petinggi
hone	mengasah
honed	diasah
honer	menghormati
hones	mengasah
honest	jujur
honestly	Sejujurnya
honesty	kejujuran
honey	Sayang
honeybee	lebah madu
honeybees	lebah madu
honeycomb	sarang madu
honeycombed	berbentuk sarang lebah
honeycombs	sarang lebah
honeydew	melon madu
honeyed	madu
honeymoon	bulan madu
honeymooned	berbulan madu
honeymooner	pasangan bulan madu
honeymooners	pasangan bulan madu
honeymooning	bulan madu
honeymoons	bulan madu
honeypot	jebakan madu
honeypots	sarang madu
honeys	madu
honeysuckle	bunga honeysuckle
hong	Hong
honing	mengasah
honk	membunyikan
honked	membunyikan klakson
honker	klakson
honkers	klakson
honking	membunyikan klakson
honks	klakson
honky	honky
honor	menghormati
honorable	terhormat
honorably	dengan hormat
honorarium	honorarium
honorariums	honorarium
honorary	kehormatan
honored	terhormat
honoree	penerima penghargaan
honorees	penerima penghargaan
honorific	sebutan kehormatan
honoring	menghormati
honors	penghargaan
hons	kehormatan
hoo	hoo
hooch	minuman keras
hood	tudung
hooded	berkerudung
hoodie	hoodie
hoodies	hoodie
hooding	penutup kepala
hoodlum	penjahat
hoodlums	preman
hoodoo	sial
hoodoos	hoodoos
hoods	tudung
hoodwink	menipu
hoodwinked	tertipu
hooey	omong kosong
hoof	menerjang
hoofed	berkuku
hoofer	penari
hoofers	kuda
hoofs	kuku
hook	kait
hookah	pipa
hookahs	pipa shisha
hooked	doyan
hooker	pelacur
hookers	pelacur
hooking	mengaitkan
hooks	kait
hookup	kencan
hookups	kencan singkat
hookworm	cacing tambang
hookworms	cacing tambang
hooky	bolos sekolah
hooligan	penjahat
hooliganism	hooliganisme
hooligans	para hooligan
hoop	simpai
hooped	melingkar
hooper	angsa liar
hooping	bermain hula hoop
hoopla	kehebohan
hoopoe	semacam burung
hoops	lingkaran
hooray	hore
hoot	tiupan
hooted	berteriak
hootenanny	pesta pora
hooter	bunyi klakson
hooters	Hooters
hooting	berteriak
hoots	teriakan
hoover	alat pengisap debu
hoovering	menyedot debu
hoovers	penyedot debu
hooves	kuku
hop	melompat
hope	harapan
hoped	berharap
hopeful	penuh harapan
hopefully	semoga
hopefulness	harapan
hopefuls	para calon
hopeless	tanpa harapan
hopelessly	tanpa harapan
hopelessness	keputusasan
hopes	harapan
hoping	berharap
hoplite	hoplite
hopped	melompat
hopper	corong
hoppers	corong
hopping	melompat
hops	hop
hopscotch	main jingkat
hor	hor
hora	jam
horary	setiap jam
horas	jam
horde	gerombolan
hordes	gerombolan
horehound	anjing pemburu
horizon	horison
horizons	cakrawala
horizontal	horisontal
horizontally	secara horizontal
horizontals	horizontal
hormonal	hormonal
hormonally	secara hormonal
hormone	hormon
hormones	hormon
horn	klakson
hornbeam	pohon hornbeam
hornbill	burung rangkong
hornbills	burung rangkong
hornblende	hornblende
hornbook	abese
horned	bertanduk
hornet	pikat
hornets	lebah
hornier	lebih bergairah
horniest	paling mesum
horniness	gairah seksual
hornless	tanpa tanduk
hornpipe	dansa pelaut yg lincah
hornpipes	terompet
horns	tanduk
horny	birahi
horological	horologi
horologium	jam
horology	pertukangan arloji
horoscope	horoskop
horoscopes	horoskop
horrendous	mengerikan
horrendously	mengerikan
horrible	mengerikan
horribly	mengerikan
horrid	mengerikan
horridly	mengerikan
horrific	mengerikan
horrifically	mengerikan
horrified	ngeri
horrifies	mengerikan
horrify	menakuti
horrifying	mengerikan
horrifyingly	mengerikan
horror	kengerian
horrors	kengerian
horse	kuda
horseback	punggung kuda
horsebox	gerobak kuda
horseboxes	kotak kuda
horsed	berkuda
horsefeathers	bulu kuda
horseflesh	daging kuda
horsefly	langau
horsehair	bulu kuda
horselaughs	tertawa terbahak-bahak
horseless	yg tdk mempunyai kuda
horseman	penunggang kuda
horsemanship	kepandaian menunggang kuda
horsemen	penunggang kuda
horseplay	permainan kasar
horsepower	daya kuda
horseracing	pacuan kuda
horseradish	lobak pedas
horses	kuda
horseshit	Tai kuda
horseshoe	sepatu kuda
horseshoeing	memasang tapal kuda
horseshoes	tapal kuda
horsetail	ekor kuda
horseweed	rumput kuda
horsewoman	penunggang kuda wanita
horsey	kuda
horsing	deraan
horst	horst
hort	hortikultura
hortatory	yg menegur
horticultural	hortikultura
horticulturalists	ahli hortikultura
horticulture	hortikultura
horticulturist	hortikulturis
horticulturists	ahli hortikultura
hos	rumah
hosanna	Hosanna
hose	selang
hosed	disiram
hosepipe	pipa air
hoses	selang
hosier	kaus kaki
hosiery	kaus kaki
hosing	menyiram
hosp	rumah sakit
hospice	rumah perawatan paliatif
hospices	rumah sakit
hospitable	ramah
hospitably	dengan ramah
hospital	RSUD
hospitality	keramahan
hospitalization	rawat inap
hospitalizations	rawat inap
hospitalize	masuk rumah sakit
hospitalized	dirawat di rumah sakit
hospitals	rumah sakit
host	tuan rumah
hosta	hosta
hostage	sandera
hostages	sandera
hosted	diselenggarakan
hostel	asrama
hosteling	penginapan
hostelries	penginapan
hostelry	penginapan
hostels	asrama
hostess	nyonya rumah
hostesses	nyonya rumah
hostile	agresif
hostiles	musuh
hostilities	pertempuran
hostility	permusuhan
hosting	hosting
hostler	penjaga kuda
hosts	tuan rumah
hot	panas
hotbed	persemaian
hotbeds	sarang panas
hotbox	kotak panas
hotcakes	pancake
hotdog	hotdog
hotdogs	hotdog
hotel	hotel
hotelier	pemilik hotel
hoteliers	pemilik hotel
hotels	hotel
hothead	pemberang
hotheaded	pemarah
hothouse	rumah kaca
hotkey	tombol pintas
hotkeys	tombol pintas
hotline	saluran telepon
hotlines	saluran telepon darurat
hotlink	tautan langsung
hotlinks	tautan langsung
hotly	dengan panas
hotness	panas
hotplate	kompor listrik
hotplates	kompor listrik
hotpot	makanan daging dan sayur
hots	panas
hotshot	jagoan
hotshots	jagoan
hotspur	lekas marah
hotter	lebih panas
hottest	terpanas
hottie	cewek seksi
hotties	cewek-cewek seksi
hotting	memanas
hough	meskipun
hound	anjing
hounded	diburu
hounding	mengejar
hounds	anjing pemburu
hour	jam
hourglass	jam pasir
hourly	per jam
hours	jam
house	rumah
houseboat	rumah perahu
houseboats	rumah perahu
housebound	terkurung di rumah
houseboy	pelayan rumah
houseboys	pelayan laki-laki
housebreaking	membobol rumah
housebroken	sudah terlatih buang air di tempat yang tepat
housecleaning	membersihkan rumah
housed	ditempatkan
houseflies	lalat rumah
housefly	lalat rumah
houseful	serumah penuh
household	rumah tangga
householder	pemilik rumah
householders	pemilik rumah
households	rumah tangga
housekeeper	pengurus rumah tangga
housekeepers	pembantu rumah tangga
housekeeping	pekerjaan rumah tangga
housel	rumah
houseless	yg tak berumah
housemaid	pembantu
housemaids	pembantu rumah tangga
houseman	tukang rumah
housemaster	guru pengawas asrama
housemate	teman serumah
housemates	teman serumah
houseplant	tanaman hias
houseplants	tanaman hias
houses	rumah
housetop	atap rumah
housetops	atap rumah
housewares	peralatan rumah tangga
housewarming	pesta pindah rumah
housewife	ibu rumah tangga
housewives	ibu rumah tangga
housework	tugas rumah
housing	perumahan
housings	perumahan
houstonia	Houston
hove	terbang
hovel	gubuk
hovels	gubuk
hover	arahkan kursor
hoverboard	hoverboard
hovercraft	kapal berbantalan udara
hovercrafts	kapal bantalan udara
hovered	melayang
hovering	melayang
hovers	melayang
how	Bagaimana
howbeit	meskipun
howdy	halo
however	Namun
howitzer	meriam
howitzers	meriam
howl	melolong
howled	melolong
howler	kesalahan besar
howlers	orang-orang yang berteriak
howling	melolong
howls	lolongan
hows	bagaimana
howsoever	bagaimanapun
hoy	tongkang
hoys	hoys
hp	hp
hr	jam
hrs	jam
hryvnia	hryvnia
ht	ht
huarache	huarache
huaraches	sepatu huaraches
hub	pusat
hubbies	suami
hubbub	keriuhan
hubby	suami
hubcap	dop
hubcaps	penutup roda
hubris	keangkuhan
hubristic	sombong
hubs	pusat
huckleberries	buah huckleberry
huckleberry	semacam buah frambos kecil
huckster	tukang jualan
hucksters	pedagang keliling
huddle	kerumunan
huddled	berkerumun
huddles	berkerumun
huddling	berkerumun
hue	warna
hued	berwarna
hues	warna
huff	mendengus
huffed	mendengus
huffing	mendengus
huffs	mendengus
huffy	pemarah
hug	memeluk
huge	sangat besar
hugely	sangat
hugeness	kebesaran
huger	lebih besar
hugest	terbesar
hugged	memeluk
hugger	orang yang memeluk
hugging	berpelukan
hugs	pelukan
huh	Hah
hula	hula
hulk	Hulk
hulking	besar
hulks	hulks
hull	lambung kapal
hullabaloo	keributan
hulled	dikupas
hulls	lambung kapal
hum	bersenandung
human	manusia
humane	manusiawi
humanely	secara manusiawi
humaneness	kemanusiaan
humanism	humanisme
humanist	budayawan
humanistic	humanistik
humanists	humanis
humanitarian	kemanusiaan
humanitarianism	kemanusiaan
humanitarians	kemanusiaan
humanities	sastra
humanity	kemanusiaan
humanization	humanisasi
humanize	memanusiakan
humanized	manusiawi
humanizes	memanusiakan
humanizing	memanusiakan
humankind	umat manusia
humanly	manusiawi
humanness	kemanusiaan
humanoid	manusia
humanoids	humanoid
humans	manusia
humble	rendah hati
humbled	merasa rendah hati
humbleness	kerendahan hati
humbler	lebih rendah hati
humbles	merendahkan hati
humblest	paling rendah hati
humbling	merendahkan hati
humbly	dengan rendah hati
humbug	omong kosong
humbugs	penipu
humdinger	luar biasa
humdrum	membosankan
humectant	humektan
humeral	humerus
humeri	humerus
humerus	tulang lengan atas
humic	humik
humid	lembab
humidification	pelembapan
humidified	dilembapkan
humidifier	pelembap udara
humidifiers	pelembap udara
humidify	melembabkan
humidifying	melembapkan
humidistat	pengukur kelembapan
humidity	kelembaban
humidor	humidor
humidors	humidor
humiliate	menghina
humiliated	dipermalukan
humiliates	mempermalukan
humiliating	memalukan
humiliation	penghinaan
humiliations	penghinaan
humility	kerendahhatian
hummable	bisa dinyanyikan
hummed	bersenandung
hummer	hummer
hummers	burung kolibri
humming	bersenandung
hummingbird	burung kolibri
hummingbirds	burung kolibri
hummock	bukit kecil
hummocks	gundukan
hummocky	berbukit-bukit
hummus	hummus
humongous	sangat besar
humor	humor
humoral	humoral
humored	terhibur
humoresque	humoris
humoring	menghibur
humorist	jenakawan
humorists	humoris
humorless	tidak humoris
humorous	lucu
humorously	dengan humor
humors	humor
hump	punuk
humpback	punggung bungkuk
humpbacks	paus bungkuk
humped	bungkuk
humph	humph
humping	bercinta
humps	punuk
humpy	pondok
hums	bersenandung
humus	humus
hun	hun
hunch	firasat
hunchback	orang bungkuk
hunchbacked	berpunggung bungkuk
hunched	membungkuk
hunches	firasat
hunching	membungkuk
hundred	ratus
hundredfold	seratus kali
hundreds	ratusan
hundredth	keseratus
hundredths	seperseratus
hundredweight	seratus pon
hung	tergantung
hunger	kelaparan
hungered	lapar
hungering	lapar
hungers	rasa lapar
hungover	mabuk
hungrier	lebih lapar
hungriest	paling lapar
hungrily	dengan lapar
hungry	lapar
hunk	bingkah
hunker	mencangkung
hunkered	berjongkok
hunkering	berjongkok
hunks	orang bakhil
hunky	tampan
hunt	berburu
hunted	diburu
hunter	pemburu
hunters	pemburu
hunting	memburu
huntress	pemburu wanita
hunts	perburuan
huntsman	pemburu
huntsmen	pemburu
hurdle	rintangan
hurdler	pelari gawang
hurdles	lari gawang
hurdling	lari gawang
hurl	melemparkan
hurled	dilemparkan
hurler	pelempar
hurlers	pelempar
hurley	tongkat hurley
hurling	pelontaran
hurls	melempar
hurrah	Hore
hurray	Hore
hurricane	badai
hurricanes	badai
hurried	keburu
hurriedly	terburu-buru
hurries	terburu-buru
hurry	buru-buru
hurrying	bergegas
hurst	hutan kecil
hurt	terluka
hurter	menyakiti
hurtful	menyakitkan
hurting	menyakitkan
hurtle	membanting
hurtled	meluncur
hurtles	meluncur
hurtling	melaju kencang
hurts	sakit
husband	suami
husbanded	suami
husbanding	mengasuh
husbandman	petani
husbandmen	petani
husbandry	peternakan
husbands	suami
hush	diam
hushed	diam
hushing	diam
husk	sekam
husked	dikupas
husker	husker
huskers	pengupas
huskies	anjing husky
huskily	dengan suara serak
husking	mengupas
husks	sekam
husky	serak
hussar	prajurit berkuda
hussars	hussar
hussies	wanita jalang
hussy	perempuan nakal
hustings	kampanye
hustle	mendorong dengan cepat
hustled	diburu
hustler	penipu
hustlers	penipu
hustles	kecurangan
hustling	berbisnis
hut	pondok
hutch	kandang kelinci
hutches	kandang
huts	gubuk
huzzah	Sabas
hwan	hwan
hwy	jalan raya
hyacinth	eceng gondok
hyacinths	bunga eceng gondok
hyaline	seperti kaca
hyaloid	hialoid
hyaluronidase	hialuronidase
hybrid	hibrida
hybridity	hibriditas
hybridization	hibridisasi
hybridize	mengawinkan silang
hybridized	hibrida
hybridizer	penghibrida
hybridizes	berhibridisasi
hybridizing	hibridisasi
hybrids	hibrida
hybris	kesombongan
